tahun,nama_kota,nama_kecamatan,nama_kelurahan,jenis_kelamin,wilayah,jumlah
2019,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-Laki,JAKARTA,61
2019,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-Laki,JAKARTA,51
2019,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-Laki,JAKARTA,27
2019,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Laki-Laki,JAKARTA,7
2019,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-Laki,JAKARTA,54
2019,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Laki-Laki,JAKARTA,29
2019,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,JAKARTA,12
2019,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,JAKARTA,80
2019,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,JAKARTA,109
2019,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,JAKARTA,86
2019,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,JAKARTA,58
2019,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,JAKARTA,127
2019,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,JAKARTA,57
2019,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,JAKARTA,183
2019,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,JAKARTA,127
2019,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,JAKARTA,88
2019,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,JAKARTA,183
2019,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,JAKARTA,129
2019,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,JAKARTA,210
2019,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,JAKARTA,175
2019,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,JAKARTA,178
2019,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,JAKARTA,98
2019,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,JAKARTA,224
2019,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,JAKARTA,152
2019,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,JAKARTA,227
2019,JAKARTA PUSAT,SENEN,SENEN,Laki-Laki,JAKARTA,36
2019,JAKARTA PUSAT,SENEN,KENARI,Laki-Laki,JAKARTA,52
2019,JAKARTA PUSAT,SENEN,PASEBAN,Laki-Laki,JAKARTA,167
2019,JAKARTA PUSAT,SENEN,KRAMAT,Laki-Laki,JAKARTA,174
2019,JAKARTA PUSAT,SENEN,KWITANG,Laki-Laki,JAKARTA,104
2019,JAKARTA PUSAT,SENEN,BUNGUR,Laki-Laki,JAKARTA,113
2019,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,JAKARTA,121
2019,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,JAKARTA,241
2019,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,JAKARTA,124
2019,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,JAKARTA,179
2019,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,JAKARTA,156
2019,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,JAKARTA,45
2019,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,JAKARTA,19
2019,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,JAKARTA,84
2019,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,JAKARTA,23
2019,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,JAKARTA,131
2019,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-Laki,JAKARTA,107
2019,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-Laki,JAKARTA,263
2019,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-Laki,JAKARTA,229
2019,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-Laki,JAKARTA,129
2019,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-Laki,JAKARTA,73
2019,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-Laki,JAKARTA,254
2019,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-Laki,JAKARTA,144
2019,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-Laki,JAKARTA,134
2019,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-Laki,JAKARTA,279
2019,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-Laki,JAKARTA,633
2019,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-Laki,JAKARTA,104
2019,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-Laki,JAKARTA,272
2019,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-Laki,JAKARTA,479
2019,JAKARTA UTARA,PENJARINGAN,PLUIT,Laki-Laki,JAKARTA,307
2019,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Laki-Laki,JAKARTA,238
2019,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Laki-Laki,JAKARTA,508
2019,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Laki-Laki,JAKARTA,319
2019,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Laki-Laki,JAKARTA,227
2019,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Laki-Laki,JAKARTA,396
2019,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Laki-Laki,JAKARTA,418
2019,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Laki-Laki,JAKARTA,344
2019,JAKARTA UTARA,KOJA,KOJA,Laki-Laki,JAKARTA,219
2019,JAKARTA UTARA,KOJA,TUGU UTARA,Laki-Laki,JAKARTA,566
2019,JAKARTA UTARA,KOJA,LAGOA,Laki-Laki,JAKARTA,546
2019,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Laki-Laki,JAKARTA,297
2019,JAKARTA UTARA,KOJA,TUGU SELATAN,Laki-Laki,JAKARTA,359
2019,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Laki-Laki,JAKARTA,381
2019,JAKARTA UTARA,CILINCING,CILINCING,Laki-Laki,JAKARTA,363
2019,JAKARTA UTARA,CILINCING,SUKAPURA,Laki-Laki,JAKARTA,422
2019,JAKARTA UTARA,CILINCING,MARUNDA,Laki-Laki,JAKARTA,249
2019,JAKARTA UTARA,CILINCING,KALI BARU,Laki-Laki,JAKARTA,650
2019,JAKARTA UTARA,CILINCING,SEMPER TIMUR,Laki-Laki,JAKARTA,287
2019,JAKARTA UTARA,CILINCING,ROROTAN,Laki-Laki,JAKARTA,400
2019,JAKARTA UTARA,CILINCING,SEMPER BARAT,Laki-Laki,JAKARTA,549
2019,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Laki-Laki,JAKARTA,241
2019,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Laki-Laki,JAKARTA,538
2019,JAKARTA UTARA,PADEMANGAN,ANCOL,Laki-Laki,JAKARTA,160
2019,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,Laki-Laki,JAKARTA,186
2019,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,Laki-Laki,JAKARTA,329
2019,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,Laki-Laki,JAKARTA,191
2019,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Laki-Laki,JAKARTA,453
2019,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,Laki-Laki,JAKARTA,583
2019,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,Laki-Laki,JAKARTA,491
2019,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,Laki-Laki,JAKARTA,232
2019,JAKARTA BARAT,CENGKARENG,KAPUK,Laki-Laki,JAKARTA,913
2019,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,Laki-Laki,JAKARTA,612
2019,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,Laki-Laki,JAKARTA,89
2019,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,Laki-Laki,JAKARTA,79
2019,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,Laki-Laki,JAKARTA,160
2019,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,Laki-Laki,JAKARTA,149
2019,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,Laki-Laki,JAKARTA,138
2019,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,Laki-Laki,JAKARTA,222
2019,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,Laki-Laki,JAKARTA,256
2019,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,Laki-Laki,JAKARTA,73
2019,JAKARTA BARAT,TAMAN SARI,KRUKUT,Laki-Laki,JAKARTA,112
2019,JAKARTA BARAT,TAMAN SARI,MAPHAR,Laki-Laki,JAKARTA,119
2019,JAKARTA BARAT,TAMAN SARI,TANGKI,Laki-Laki,JAKARTA,61
2019,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,Laki-Laki,JAKARTA,31
2019,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,Laki-Laki,JAKARTA,120
2019,JAKARTA BARAT,TAMAN SARI,GLODOK,Laki-Laki,JAKARTA,33
2019,JAKARTA BARAT,TAMAN SARI,PINANGSIA,Laki-Laki,JAKARTA,52
2019,JAKARTA BARAT,TAMBORA,TAMBORA,Laki-Laki,JAKARTA,53
2019,JAKARTA BARAT,TAMBORA,KALI ANYAR,Laki-Laki,JAKARTA,154
2019,JAKARTA BARAT,TAMBORA,DURI UTARA,Laki-Laki,JAKARTA,113
2019,JAKARTA BARAT,TAMBORA,TANAH SEREAL,Laki-Laki,JAKARTA,185
2019,JAKARTA BARAT,TAMBORA,KERENDANG,Laki-Laki,JAKARTA,139
2019,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,Laki-Laki,JAKARTA,187
2019,JAKARTA BARAT,TAMBORA,ANGKE,Laki-Laki,JAKARTA,161
2019,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,Laki-Laki,JAKARTA,140
2019,JAKARTA BARAT,TAMBORA,PEKOJAN,Laki-Laki,JAKARTA,126
2019,JAKARTA BARAT,TAMBORA,ROA MALAKA,Laki-Laki,JAKARTA,16
2019,JAKARTA BARAT,TAMBORA,DURI SELATAN,Laki-Laki,JAKARTA,83
2019,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,Laki-Laki,JAKARTA,391
2019,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,Laki-Laki,JAKARTA,315
2019,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,Laki-Laki,JAKARTA,293
2019,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,Laki-Laki,JAKARTA,147
2019,JAKARTA BARAT,KEBON JERUK,DURI KEPA,Laki-Laki,JAKARTA,389
2019,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,Laki-Laki,JAKARTA,322
2019,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,Laki-Laki,JAKARTA,193
2019,JAKARTA BARAT,KALI DERES,KALIDERES,Laki-Laki,JAKARTA,527
2019,JAKARTA BARAT,KALI DERES,SEMANAN,Laki-Laki,JAKARTA,517
2019,JAKARTA BARAT,KALI DERES,TEGAL ALUR,Laki-Laki,JAKARTA,671
2019,JAKARTA BARAT,KALI DERES,KAMAL,Laki-Laki,JAKARTA,416
2019,JAKARTA BARAT,KALI DERES,PEGADUNGAN,Laki-Laki,JAKARTA,568
2019,JAKARTA BARAT,PALMERAH,PALMERAH,Laki-Laki,JAKARTA,425
2019,JAKARTA BARAT,PALMERAH,SLIPI,Laki-Laki,JAKARTA,113
2019,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,Laki-Laki,JAKARTA,201
2019,JAKARTA BARAT,PALMERAH,JATI PULO,Laki-Laki,JAKARTA,216
2019,JAKARTA BARAT,PALMERAH,KEMANGGISAN,Laki-Laki,JAKARTA,188
2019,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,Laki-Laki,JAKARTA,169
2019,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,Laki-Laki,JAKARTA,388
2019,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,Laki-Laki,JAKARTA,305
2019,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,Laki-Laki,JAKARTA,226
2019,JAKARTA BARAT,KEMBANGAN,SRENGSENG,Laki-Laki,JAKARTA,324
2019,JAKARTA BARAT,KEMBANGAN,JOGLO,Laki-Laki,JAKARTA,254
2019,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,Laki-Laki,JAKARTA,193
2019,JAKARTA SELATAN,TEBET,TEBET TIMUR,Laki-Laki,JAKARTA,98
2019,JAKARTA SELATAN,TEBET,TEBET BARAT,Laki-Laki,JAKARTA,114
2019,JAKARTA SELATAN,TEBET,MENTENG DALAM,Laki-Laki,JAKARTA,234
2019,JAKARTA SELATAN,TEBET,KEBON BARU,Laki-Laki,JAKARTA,216
2019,JAKARTA SELATAN,TEBET,BUKIT DURI,Laki-Laki,JAKARTA,220
2019,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,Laki-Laki,JAKARTA,140
2019,JAKARTA SELATAN,TEBET,MANGGARAI,Laki-Laki,JAKARTA,191
2019,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,Laki-Laki,JAKARTA,12
2019,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,Laki-Laki,JAKARTA,16
2019,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,Laki-Laki,JAKARTA,96
2019,JAKARTA SELATAN,SETIA BUDI,KARET,Laki-Laki,JAKARTA,34
2019,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,Laki-Laki,JAKARTA,176
2019,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,Laki-Laki,JAKARTA,164
2019,JAKARTA SELATAN,SETIA BUDI,GUNTUR,Laki-Laki,JAKARTA,21
2019,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,Laki-Laki,JAKARTA,25
2019,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,Laki-Laki,JAKARTA,109
2019,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,Laki-Laki,JAKARTA,146
2019,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,Laki-Laki,JAKARTA,269
2019,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,Laki-Laki,JAKARTA,204
2019,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,Laki-Laki,JAKARTA,65
2019,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,Laki-Laki,JAKARTA,125
2019,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,Laki-Laki,JAKARTA,261
2019,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,Laki-Laki,JAKARTA,159
2019,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,Laki-Laki,JAKARTA,215
2019,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,Laki-Laki,JAKARTA,387
2019,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,Laki-Laki,JAKARTA,213
2019,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,Laki-Laki,JAKARTA,307
2019,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,Laki-Laki,JAKARTA,252
2019,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,Laki-Laki,JAKARTA,348
2019,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,Laki-Laki,JAKARTA,237
2019,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,Laki-Laki,JAKARTA,295
2019,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,Laki-Laki,JAKARTA,299
2019,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,Laki-Laki,JAKARTA,213
2019,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,Laki-Laki,JAKARTA,270
2019,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,Laki-Laki,JAKARTA,212
2019,JAKARTA SELATAN,CILANDAK,PONDOK LABU,Laki-Laki,JAKARTA,231
2019,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,Laki-Laki,JAKARTA,123
2019,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,Laki-Laki,JAKARTA,131
2019,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,Laki-Laki,JAKARTA,12
2019,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,Laki-Laki,JAKARTA,36
2019,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,Laki-Laki,JAKARTA,68
2019,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,Laki-Laki,JAKARTA,9
2019,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,Laki-Laki,JAKARTA,20
2019,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,Laki-Laki,JAKARTA,12
2019,JAKARTA SELATAN,KEBAYORAN BARU,PULO,Laki-Laki,JAKARTA,26
2019,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,Laki-Laki,JAKARTA,58
2019,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,Laki-Laki,JAKARTA,200
2019,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,Laki-Laki,JAKARTA,175
2019,JAKARTA SELATAN,PANCORAN,PANCORAN,Laki-Laki,JAKARTA,143
2019,JAKARTA SELATAN,PANCORAN,KALIBATA,Laki-Laki,JAKARTA,286
2019,JAKARTA SELATAN,PANCORAN,RAWA JATI,Laki-Laki,JAKARTA,140
2019,JAKARTA SELATAN,PANCORAN,DUREN TIGA,Laki-Laki,JAKARTA,170
2019,JAKARTA SELATAN,PANCORAN,PENGADEGAN,Laki-Laki,JAKARTA,139
2019,JAKARTA SELATAN,PANCORAN,CIKOKO,Laki-Laki,JAKARTA,77
2019,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,Laki-Laki,JAKARTA,448
2019,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,Laki-Laki,JAKARTA,388
2019,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,Laki-Laki,JAKARTA,255
2019,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,Laki-Laki,JAKARTA,336
2019,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,Laki-Laki,JAKARTA,276
2019,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,Laki-Laki,JAKARTA,256
2019,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,Laki-Laki,JAKARTA,165
2019,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,Laki-Laki,JAKARTA,259
2019,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,Laki-Laki,JAKARTA,342
2019,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,Laki-Laki,JAKARTA,226
2019,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,Laki-Laki,JAKARTA,278
2019,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,Laki-Laki,JAKARTA,190
2019,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,Laki-Laki,JAKARTA,175
2019,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,Laki-Laki,JAKARTA,170
2019,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,Laki-Laki,JAKARTA,121
2019,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,Laki-Laki,JAKARTA,119
2019,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,Laki-Laki,JAKARTA,220
2019,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,Laki-Laki,JAKARTA,223
2019,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,Laki-Laki,JAKARTA,240
2019,JAKARTA TIMUR,PULO GADUNG,CIPINANG,Laki-Laki,JAKARTA,247
2019,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,Laki-Laki,JAKARTA,168
2019,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,Laki-Laki,JAKARTA,213
2019,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,Laki-Laki,JAKARTA,237
2019,JAKARTA TIMUR,PULO GADUNG,JATI,Laki-Laki,JAKARTA,199
2019,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,Laki-Laki,JAKARTA,214
2019,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,Laki-Laki,JAKARTA,194
2019,JAKARTA TIMUR,JATINEGARA,BALI MESTER,Laki-Laki,JAKARTA,49
2019,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,Laki-Laki,JAKARTA,136
2019,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,Laki-Laki,JAKARTA,160
2019,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,Laki-Laki,JAKARTA,359
2019,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,Laki-Laki,JAKARTA,262
2019,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,Laki-Laki,JAKARTA,324
2019,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,Laki-Laki,JAKARTA,247
2019,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,Laki-Laki,JAKARTA,332
2019,JAKARTA TIMUR,KRAMAT JATI,DUKUH,Laki-Laki,JAKARTA,171
2019,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,Laki-Laki,JAKARTA,336
2019,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,Laki-Laki,JAKARTA,239
2019,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,Laki-Laki,JAKARTA,264
2019,JAKARTA TIMUR,KRAMAT JATI,CAWANG,Laki-Laki,JAKARTA,193
2019,JAKARTA TIMUR,PASAR REBO,GEDONG,Laki-Laki,JAKARTA,245
2019,JAKARTA TIMUR,PASAR REBO,BARU,Laki-Laki,JAKARTA,189
2019,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,Laki-Laki,JAKARTA,229
2019,JAKARTA TIMUR,PASAR REBO,KALISARI,Laki-Laki,JAKARTA,275
2019,JAKARTA TIMUR,PASAR REBO,PEKAYON,Laki-Laki,JAKARTA,242
2019,JAKARTA TIMUR,CAKUNG,JATINEGARA,Laki-Laki,JAKARTA,596
2019,JAKARTA TIMUR,CAKUNG,RAWA TERATE,Laki-Laki,JAKARTA,184
2019,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,Laki-Laki,JAKARTA,674
2019,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,Laki-Laki,JAKARTA,401
2019,JAKARTA TIMUR,CAKUNG,PULO GEBANG,Laki-Laki,JAKARTA,525
2019,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,Laki-Laki,JAKARTA,150
2019,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,Laki-Laki,JAKARTA,400
2019,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,Laki-Laki,JAKARTA,427
2019,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,Laki-Laki,JAKARTA,417
2019,JAKARTA TIMUR,DUREN SAWIT,KLENDER,Laki-Laki,JAKARTA,456
2019,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,Laki-Laki,JAKARTA,426
2019,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,Laki-Laki,JAKARTA,141
2019,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,Laki-Laki,JAKARTA,158
2019,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,Laki-Laki,JAKARTA,204
2019,JAKARTA TIMUR,MAKASAR,MAKASAR,Laki-Laki,JAKARTA,290
2019,JAKARTA TIMUR,MAKASAR,PINANG RANTI,Laki-Laki,JAKARTA,199
2019,JAKARTA TIMUR,MAKASAR,KEBON PALA,Laki-Laki,JAKARTA,342
2019,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,Laki-Laki,JAKARTA,182
2019,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,Laki-Laki,JAKARTA,267
2019,JAKARTA TIMUR,CIRACAS,CIRACAS,Laki-Laki,JAKARTA,355
2019,JAKARTA TIMUR,CIRACAS,CIBUBUR,Laki-Laki,JAKARTA,308
2019,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,Laki-Laki,JAKARTA,265
2019,JAKARTA TIMUR,CIRACAS,SUSUKAN,Laki-Laki,JAKARTA,235
2019,JAKARTA TIMUR,CIRACAS,RAMBUTAN,Laki-Laki,JAKARTA,260
2019,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,Laki-Laki,JAKARTA,163
2019,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,Laki-Laki,JAKARTA,174
2019,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,Laki-Laki,JAKARTA,159
2019,JAKARTA TIMUR,CIPAYUNG,MUNJUL,Laki-Laki,JAKARTA,157
2019,JAKARTA TIMUR,CIPAYUNG,SETU,Laki-Laki,JAKARTA,117
2019,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,Laki-Laki,JAKARTA,153
2019,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,Laki-Laki,JAKARTA,429
2019,JAKARTA TIMUR,CIPAYUNG,CEGER,Laki-Laki,JAKARTA,144
2019,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-Laki,BODETABEK,6
2019,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-Laki,BODETABEK,4
2019,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Laki-Laki,BODETABEK,8
2019,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-Laki,BODETABEK,4
2019,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Laki-Laki,BODETABEK,3
2019,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,BODETABEK,1
2019,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,BODETABEK,11
2019,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,BODETABEK,13
2019,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,BODETABEK,15
2019,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,BODETABEK,3
